id,title,org_name,location,ncs,job_type,start_date,end_date,dday,status,detail_url
183,[한국장애인고용공단 부산지역본부] 대체근로자(체험형 청년인턴) 채용 공고,한국장애인고용공단,부산,"경영.회계.사무,사회복지.종교",비정규직 외 1,2025.05.22,25.05.29,D+35,마감,https://job.alio.go.kr/recruit.do?pageNo=1&idx=286285
184,[한국장애인고용공단 경기서부지사] 육아휴직대체 기간제 근로자(체험형 청년인턴) 채용 공고,한국장애인고용공단,경기,사회복지.종교,청년인턴(체험형),2025.05.22,25.06.02,D+31,마감,https://job.alio.go.kr/recruit.do?pageNo=1&idx=286278
185,2025년도 장애인기업종합지원센터 체험형 청년인턴 채용 공고,재단법인 장애인기업종합지원센터,서울,"사업관리,경영.회계.사무",청년인턴(체험형),2025.05.22,25.06.05,D+28,마감,https://job.alio.go.kr/recruit.do?pageNo=1&idx=286262
186,한국폴리텍대학 아산캠퍼스 행정지원직[청년인턴(장애)] 채용 재공고(4차),학교법인한국폴리텍,충남,경영.회계.사무,청년인턴(체험형),2025.05.22,25.05.30,D+34,마감,https://job.alio.go.kr/recruit.do?pageNo=1&idx=286256
187,대한법률구조공단 전주지부 청년인턴 공개경쟁 채용시험 공고,대한법률구조공단,전북,"경영.회계.사무,법률.경찰.소방.교도.국방",청년인턴(체험형),2025.05.22,25.06.06,D+27,마감,https://job.alio.go.kr/recruit.do?pageNo=1&idx=286225
188,[제2025-33호]2025년도 제2차 한국장애인개발원 청년인턴(장애인 제한) 채용 공고,한국장애인개발원,서울,"사업관리,경영.회계.사무,사회복지.종교,문화.예술.디자인.방송",청년인턴(체험형),2025.05.22,25.06.05,D+28,마감,https://job.alio.go.kr/recruit.do?pageNo=1&idx=286193
189,2025년 한국여성인권진흥원 제2차 채용 공고,한국여성인권진흥원,서울,"사업관리,경영.회계.사무,교육.자연.사회과학,사회복지.종교,운전.운송",무기계약직 외 3,2025.05.21,25.06.04,D+29,마감,https://job.alio.go.kr/recruit.do?pageNo=1&idx=286238
190,[부천지사] 청년(체험형)인턴 채용 공고,근로복지공단,경기,경영.회계.사무,청년인턴(체험형),2025.05.21,25.05.30,D+34,마감,https://job.alio.go.kr/recruit.do?pageNo=1&idx=286222
191,대구경북혈액원 비정규직(초단시간) 간호사 채용 공고_헌혈의집 구미센터,대한적십자사,경북,보건.의료,청년인턴(채용형),2025.05.21,25.06.05,D+28,마감,https://job.alio.go.kr/recruit.do?pageNo=1&idx=286220
192,"한국영상자료원 제2차 정규직(일반직) 2인, 정규직(공무직) 1인, 채용형청년인턴 2인, 기간제계약직 1인 공개경쟁 채용 공고",한국영상자료원,서울,"경영.회계.사무,정보통신",무기계약직 외 3,2025.05.21,25.06.05,D+28,마감,https://job.alio.go.kr/recruit.do?pageNo=1&idx=286214
